chapter,section,article,content,links,coverage
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 27,Fundamental rights impact assessment for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-27,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 40,Harmonised standards and standardisation deliverables,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-40,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 41,Common specifications,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-41,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 42,Presumption of conformity with certain requirements,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-42,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 43,Conformity assessment,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-43,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 44,Certificates,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-44,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 45,Information obligations of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-45,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 46,Derogation from conformity assessment procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-46,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 47,EU declaration of conformity,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-47,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 48,CE marking,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-48,high-risk obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 49,Registration,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-49,high-risk obligations
Chapter VI: Measures in Support of Innovation,,Article 60,Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-60,high-risk obligations
Chapter VIII: EU Database for High-Risk AI Systems,,Article 71,EU database for high-risk AI systems listed in Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-71,high-risk obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 1: Post-Market Monitoring,Article 72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-72,high-risk obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 2: Sharing of Information on Serious Incidents,Article 73,Reporting of serious incidents,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-73,high-risk obligations
Annexes,,Annex III,High-risk AI systems pursuant to Article 6(2) are the AI systems listed in any of the following areas:,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-3,high-risk obligations
Annexes,,Annex IV,"The technical documentation referred to in Article 11(1) shall contain at least the following information, as applicable to the relevant AI system:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-4,high-risk obligations
Annexes,,Annex V,"The EU declaration of conformity referred to in Article 47, shall contain all of the following information:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-5,high-risk obligations
Annexes,,Annex VI,"1. The conformity assessment procedure based on internal control is the conformity assessment procedure based on points 2, 3 and 4.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-6,high-risk obligations
Annexes,,Annex VII,1. Introduction,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-7,high-risk obligations
Annexes,,Annex VIII,Section A - Information to be submitted by providers of high-risk AI systems in accordance with Article 49(1),https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-8,high-risk obligations
Annexes,,Annex IX,The following information shall be provided and thereafter kept up to date with regard to testing in real world conditions to be registered in accordance with Article 60:,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-9,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 16,Obligations of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-16,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 17,Quality management system,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-17,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 18,Documentation keeping,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-18,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 19,Automatically generated logs,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-19,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 20,Corrective actions and duty of information,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-20,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 21,Cooperation with competent authorities,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-21,provider‑high‑risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 22,Authorised representatives of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-22,provider‑high‑risk obligations
Chapter V: General-Purpose AI Models,Section 2: Obligations for Providers of General-Purpose AI Models,Article 53,Obligations for providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-53,provider‑general obligations
Chapter V: General-Purpose AI Models,Section 2: Obligations for Providers of General-Purpose AI Models,Article 54,Authorised representatives of providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-54,provider‑general obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 26,Obligations of deployers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-26,deployer‑high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 27,Fundamental rights impact assessment for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-27,deployer‑high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 26,Obligations of deployers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-26,deployer‑general obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 27,Fundamental rights impact assessment for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-27,deployer‑general obligations
Chapter IV: Transparency Obligations for Providers and Deployers of Certain AI Systems,,Article 50,Transparency obligations for providers and deployers of certain AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-50,deployer‑general obligations
